@Name,@Description,@Group,@HasPair,@Display,@IsOld,@Extra
bdi,"изолирует текст, читаемый справа налево",08. Семантика текста,1,inline,,
bdo,задаёт направление написания текста,08. Семантика текста,1,inline,,
br,перенос текста на новую строку,08. Семантика текста,0,none,,
cite,источник цитирования,08. Семантика текста,1,inline,,
code,фрагмент программного кода,08. Семантика текста,1,inline,,
data,связывает содержимое с машиночитаемым переводом,08. Семантика текста,1,inline,,
dfn,выделяет термин курсивом,08. Семантика текста,1,inline,,
em,выделяет важные фрагменты текста курсивом,08. Семантика текста,1,inline,,
i,выделяет текст курсивом без акцента,08. Семантика текста,1,inline,,
kbd,"текст, вводимый пользователем с клавиатуры",08. Семантика текста,1,inline,,
mark,выделяет фрагменты текста желтым фоном,08. Семантика текста,1,inline,,
q,краткая цитата,08. Семантика текста,1,inline,,
rb,обертка для аннотации,08. Семантика текста,1,inline,,
rp,тег для скобок вокруг символов,08. Семантика текста,1,none,,
rt,расшифровка символов,08. Семантика текста,1,block,,
rtc,обертка для дополнительной аннотации,08. Семантика текста,1,inline,,
ruby,контейнер для Восточно-Азиатских символов и их расшифровки,08. Семантика текста,1,inline,,
s,перечёркивает неактуальный текст,08. Семантика текста,1,inline,,
samp,результат выполнения сценария,08. Семантика текста,1,inline,,
small,отображает текст шрифтом меньшего размера,08. Семантика текста,1,inline,,
span,контейнер для строчных элементов,08. Семантика текста,1,inline,,
strong,выделяет полужирным важный текст,08. Семантика текста,1,inline,,
sub,подстрочное написание символов,08. Семантика текста,1,inline,,
sup,надстрочное написание символов,08. Семантика текста,1,inline,,
time,дата / время документа или статьи,08. Семантика текста,1,inline,,
u,"выделяет отрывок текста подчёркиванием, без дополнительного акцента",08. Семантика текста,1,inline,1,
var,выделяет переменные из программ,08. Семантика текста,1,inline,,
wbr,возможное место разрыва длинной строки,08. Семантика текста,0,none,,
del,"перечёркивает текст, помечая как удаленный",09. Правки в тексте,1,inline,,
ins,подчёркивает изменения в тексте,09. Правки в тексте,1,inline,,
button,интерактивная кнопка,10. Формы,1,inline-block,,
datalist,контейнер для выпадающего списка элемента <`input> с <`option>-значениями,10. Формы,1,none,,
fieldset,группирует связанные элементы в форме,10. Формы,1,block,,
form,html-форма,10. Формы,1,block,,
input,многофункциональные поля формы,10. Формы,0,inline-block,,
label,текстовая метка для элемента <`input>,10. Формы,1,inline,,
legend,"заголовок элементов формы, сгруппированных с помощью <`fieldset>",10. Формы,1,block,,
meter,индикатор измерения в заданном диапазоне,10. Формы,1,inline-block,,
optgroup,контейнер с заголовком для группы элементов <`option>,10. Формы,1,block,,
option,вариант (опция) в раскрывающемся списке,10. Формы,1,block,,
output,поле для вывода результата вычисления,10. Формы,1,inline,,
progress,индикатор выполнения задачи,10. Формы,1,inline-block,,
select,элемент управления с выбором значений из предложенных вариантов <`option>,10. Формы,1,inline-block,,
textarea,многострочное поле формы,10. Формы,1,inline-block,,
acronym,,,1,?inline,1,
applet,,,1,,1,
basefont,,,0,?inline,1,
bgsound,,,0,,,1
big,,,1,?inline,1,
blink,,,1,,,1
center,,,1,?block,,
command,,,0,,,
comment,,,1,,,1
dir,,,1,,1,
font,,,1,?inline,1,
frame,,,1,,,
frameset,,,1,,,
hgroup,,,1,,,
isindex,,,0,?block,1,
keygen,,,0,,,
listing,,,1,,1,
marquee,,,1,,,1
menu,,,1,?block,,
multicol,,,1,,,1
nobr,,,1,,,1
noembed,,,1,,,
noframes,,,1,,,
plaintext,,,1,,,1
spacer,,,1,,,1
strike,,,1,?inline,1,
tt,,,1,?inline,1,
xmp,,,1,,1,
